Price,Year,Kilometer,Fuel Type,Transmission,Engine,Max Power,Max Torque,Length,Width,Fuel Tank Capacity
505000,2017,87150,Petrol,Manual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,3990,1680,35
450000,2014,75000,Diesel,Manual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,3995,1695,42
220000,2011,67000,Petrol,Manual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,3585,1595,35
799000,2019,37500,Petrol,Manual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,3995,1745,37
1950000,2018,69000,Diesel,Manual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,4735,1830,55
675000,2017,73315,Petrol,Manual,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,4490,1730,43
1898999,2015,47000,Petrol,Automatic,1991 cc,181 bhp @ 5500 rpm,300 Nm @ 1200 rpm,4630,1777,
2650000,2017,75000,Diesel,Automatic,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,4439,1821,51
1390000,2017,56000,Petrol,Automatic,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,4670,1814,50
575000,2015,85000,Diesel,Manual,1461 cc,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,4331,1822,50
591000,2017,20281,Petrol,Manual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,3985,1734,45
459999,2018,22541,Petrol,Manual,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,3679,1579,28
1075000,2019,30672,Petrol,Automatic,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,4490,1730,43
1695000,2019,20856,Diesel,Manual,1956 cc,138 bhp @ 3750 rpm,350 Nm @ 1750 rpm,4598,1894,50
944999,2017,41417,Petrol,Automatic,1197 cc,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,3971,1682,45
569000,2016,11471,Petrol,Automatic,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,3695,1600,35
449000,2019,3583,Petrol,Manual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,3445,1515,35
894999,2018,21365,Petrol,Automatic,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,3995,1745,37
699000,2020,30777,Petrol,Automatic,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,3655,1620,32
740000,2016,60125,Petrol,Manual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,4270,1780,60
470000,2020,2169,Petrol,Automatic,998 cc,67 bhp @ 5500 rpm,90 Nm @ 3500 rpm,3565,1520,27
765000,2015,60240,Petrol,Automatic,1197 cc,103 bhp @ 5000 rpm,153 Nm @ 3800 rpm,4384,1699,55
589000,2018,13772,Petrol,Automatic,1086 cc,68 bhp @ 5500 rpm,99 Nm @ 4500 rpm,3610,1645,35
999000,2019,27464,Petrol,Manual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,3995,1770,45
370000,2019,47377,CNG,Manual,998 cc,58 bhp @ 6000 rpm,78 Nm @ 3500 rpm,3545,1490,60
325000,2013,23086,Petrol,Manual,1197 cc,85 bhp @ 6000 rpm,113 Nm @ 4500 rpm,3775,1680,43
1175000,2019,36313,Petrol,Manual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,4270,1780,60
351000,2014,39276,Petrol,Manual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,3610,1680,35
551000,2015,47752,Petrol,Manual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,3985,1734,45
819999,2018,27963,Petrol,Manual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,3999,1734,40
990000,2020,24013,Petrol,Manual,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,3995,1770,45
925000,2016,66000,Diesel,Automatic,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,4270,1780,60
535000,2015,28000,Petrol,Manual,999 cc,124 bhp @ 6000 rpm,170 Nm @ 1400 rpm,3999,1765,52
860000,2013,67000,Petrol,Automatic,,,,,,
145000,2009,72000,CNG,Manual,1086 cc,62 bhp @ 5500 rpm,96 Nm @ 3000 rpm,3565,1525,35
409000,2018,27069,Petrol,Manual,1199 cc,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,3746,1647,35
490000,2018,43000,Diesel,Manual,1047 cc,69 bhp @ 4000 rpm,140 Nm @ 1800 rpm,3992,1677,35
1900000,2019,71000,Diesel,Manual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,4735,1830,55
3850000,2017,45600,Diesel,Automatic,2143 cc,168 bhp @ 3000 rpm,400 Nm @ 1400 rpm,4656,1890,66
1125000,2018,60000,Diesel,Manual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,4270,1780,55
2300000,2014,105101,Diesel,Automatic,2143 cc,203 bhp @ 4200 rpm,500 Nm @ 1600 rpm,4804,2141,70
1095000,2016,45000,Petrol,Automatic,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,4620,1775,55
1575000,2013,66000,Diesel,Automatic,1968 cc,177 bhp @ 4200 rpm,380 Nm @ 1750 rpm,4701,1826,63
2400000,2010,34105,Petrol,Automatic,1796 cc,165@5500,240@3000,4082,1777,70
525000,2015,68397,Petrol,Manual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,3985,1734,45
625000,2015,65000,Diesel,Manual,2498 cc,105 bhp @ 3800 rpm,247 Nm @ 1800 rpm,3920,1726,60
605000,2019,27469,Petrol,Manual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,3995,1745,37
412000,2016,41058,Petrol,Automatic,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,3600,1600,35
625000,2016,51330,Diesel,Manual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,4490,1730,43
511000,2015,45969,Petrol,Manual,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,4490,1730,43
1150000,2017,66602,Diesel,Automatic,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,4270,1780,60
885000,2016,57983,Petrol,Manual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,4270,1780,60
470000,2019,11183,Petrol,Automatic,999 cc,67 bhp @ 5500 rpm,91 Nm @ 4250 rpm,3679,1579,28
1611000,2019,46301,Diesel,Manual,1956 cc,169 bhp @ 3750 rpm,350 Nm @ 1750 rpm,4655,1835,60
475000,2017,34867,Petrol,Automatic,1199 cc,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,3746,1647,35
865000,2015,43634,Diesel,Manual,2494 cc,101 bhp @ 3600 rpm,200 Nm @ 1200 rpm,4585,1765,55
3800000,2018,9512,Diesel,Automatic,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,4657,1881,67
2475000,2020,11293,Diesel,Automatic,1956 cc,171 bhp @ 3750 rpm,350 Nm @ 1750 rpm,4395,1818,60
400000,2014,78000,Diesel,Manual,2179 cc,120 bhp @ 4000 rpm,290 Nm @ 1800 rpm,4430,1817,60
440000,2016,50374,Petrol,Manual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,3610,1680,35
2800000,2017,15900,Petrol,Automatic,1998 cc,181 bhp @ 5000 rpm,270 Nm @ 1350 rpm,4633,1811,57
645000,2017,64000,Petrol,Manual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,4440,1695,40
365000,2013,78000,Diesel,Manual,1199 cc,74 bhp @ 4200 rpm,180 Nm @ 2000 rpm,3970,1682,45
1044999,2021,24000,Petrol,Manual,1462 cc,103 bhp @ 6000 rpm,138 Nm @ 4400 rpm,3995,1790,48
515000,2019,40310,Petrol,Manual,1196 cc,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,3675,1475,40
455000,2015,69700,Petrol,Automatic,1197 cc,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,3765,1660,43
1800000,2012,74073,Diesel,Automatic,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,4648,1881,67
